timestamps,prices
2020-01-01 00:00:00,11.27
2020-01-01 01:00:00,10.04
2020-01-01 02:00:00,9.58
2020-01-01 03:00:00,9.95
2020-01-01 04:00:00,10.22
2020-01-01 05:00:00,10.79
2020-01-01 06:00:00,13.42
2020-01-01 07:00:00,14.31
2020-01-01 08:00:00,14.43
2020-01-01 09:00:00,14.63
2020-01-01 10:00:00,14.22
2020-01-01 11:00:00,13.52
2020-01-01 12:00:00,12.65
2020-01-01 13:00:00,11.94
2020-01-01 14:00:00,11.6
2020-01-01 15:00:00,10.74
2020-01-01 16:00:00,12.08
2020-01-01 17:00:00,15.91
2020-01-01 18:00:00,16.3
2020-01-01 19:00:00,15.11
2020-01-01 20:00:00,14.08
2020-01-01 21:00:00,12.72
2020-01-01 22:00:00,13.53
2020-01-01 23:00:00,15.19
2020-01-02 00:00:00,10.3
2020-01-02 01:00:00,6.17
2020-01-02 02:00:00,5.97
2020-01-02 03:00:00,6.74
2020-01-02 04:00:00,8.79
2020-01-02 05:00:00,10.58
2020-01-02 06:00:00,13.54
2020-01-02 07:00:00,16.45
2020-01-02 08:00:00,18.39
2020-01-02 09:00:00,17.22
2020-01-02 10:00:00,17.78
2020-01-02 11:00:00,16.14
2020-01-02 12:00:00,16.17
2020-01-02 13:00:00,16.14
2020-01-02 14:00:00,16.91
2020-01-02 15:00:00,15.89
2020-01-02 16:00:00,17.51
2020-01-02 17:00:00,25.61
2020-01-02 18:00:00,28.34
2020-01-02 19:00:00,20.38
2020-01-02 20:00:00,18.61
2020-01-02 21:00:00,17.93
2020-01-02 22:00:00,18.37
2020-01-02 23:00:00,18.49
2020-01-03 00:00:00,14.18
2020-01-03 01:00:00,12.95
2020-01-03 02:00:00,12.38
2020-01-03 03:00:00,12.3
2020-01-03 04:00:00,12.65
2020-01-03 05:00:00,12.53
2020-01-03 06:00:00,20.99
2020-01-03 07:00:00,19.13
2020-01-03 08:00:00,19.1
2020-01-03 09:00:00,17.78
2020-01-03 10:00:00,15.1
2020-01-03 11:00:00,14.07
2020-01-03 12:00:00,13.96
2020-01-03 13:00:00,13.69
2020-01-03 14:00:00,13.64
2020-01-03 15:00:00,13.63
2020-01-03 16:00:00,14.15
2020-01-03 17:00:00,21.32
2020-01-03 18:00:00,19.98
2020-01-03 19:00:00,21.2
2020-01-03 20:00:00,21.46
2020-01-03 21:00:00,21.15
2020-01-03 22:00:00,17.55
2020-01-03 23:00:00,17.72
2020-01-04 00:00:00,18.89
2020-01-04 01:00:00,17.98
2020-01-04 02:00:00,16.91
2020-01-04 03:00:00,15.55
2020-01-04 04:00:00,15.6
2020-01-04 05:00:00,16.78
2020-01-04 06:00:00,17.05
2020-01-04 07:00:00,19.76
2020-01-04 08:00:00,27.1
2020-01-04 09:00:00,28.66
2020-01-04 10:00:00,21.79
2020-01-04 11:00:00,19.23
2020-01-04 12:00:00,18.14
2020-01-04 13:00:00,16.3
2020-01-04 14:00:00,16.75
2020-01-04 15:00:00,14.99
2020-01-04 16:00:00,15.05
2020-01-04 17:00:00,17.75
2020-01-04 18:00:00,17.32
2020-01-04 19:00:00,15.77
2020-01-04 20:00:00,15.21
2020-01-04 21:00:00,13.36
