timestamps,wind_generation,fossil_generation,consumption,prices
2019-01-01 00:00:00,30021.25,23421.25,43273.75,"28,32"
2019-01-01 01:00:00,31719.25,21031.0,41631.25,"10,07"
2019-01-01 02:00:00,32075.75,20019.75,40085.0,"-4,08"
2019-01-01 03:00:00,33560.5,19158.75,39269.75,"-9,91"
2019-01-01 04:00:00,35314.5,18938.25,39032.75,"-7,41"
2019-01-01 05:00:00,36540.75,18797.75,38570.5,"-12,55"
2019-01-01 06:00:00,37871.5,18622.25,38047.5,"-17,25"
2019-01-01 07:00:00,38722.75,18865.25,38756.0,"-15,07"
2019-01-01 08:00:00,39621.5,18842.0,39575.25,"-4,93"
2019-01-01 09:00:00,39962.25,19078.25,42119.25,"-6,33"
2019-01-01 10:00:00,41785.0,18836.0,44866.5,"-4,93"
2019-01-01 11:00:00,44408.0,19033.75,47785.25,"0,45"
2019-01-01 12:00:00,44924.25,19338.25,49116.75,"0,12"
2019-01-01 13:00:00,45159.75,19444.5,48786.0,"-0,02"
2019-01-01 14:00:00,44894.75,19533.25,48528.5,"0,00"
2019-01-01 15:00:00,43750.0,21293.25,48983.0,"-0,03"
2019-01-01 16:00:00,44465.0,23115.25,50727.0,"1,97"
2019-01-01 17:00:00,44895.25,23461.75,53893.25,"9,06"
2019-01-01 18:00:00,44934.25,22698.5,54658.25,"0,07"
2019-01-01 19:00:00,44555.75,20721.25,53663.5,"-4,97"
2019-01-01 20:00:00,44433.5,19276.0,51355.5,"-6,98"
2019-01-01 21:00:00,44006.25,18424.25,49733.5,"-24,93"
2019-01-01 22:00:00,42916.25,19111.25,48741.5,"-4,87"
2019-01-01 23:00:00,42759.0,17862.25,45919.25,"-28,93"
2019-01-02 00:00:00,41126.75,17785.0,43719.75,"-33,57"
2019-01-02 01:00:00,40164.75,17142.5,42213.25,"-45,92"
2019-01-02 02:00:00,39665.75,17347.0,41807.25,"-48,29"
2019-01-02 03:00:00,39081.5,17507.5,42330.75,"-44,99"
2019-01-02 04:00:00,39298.5,17714.0,43758.0,"-48,93"
2019-01-02 05:00:00,40155.25,18995.75,46896.0,"-29,91"
2019-01-02 06:00:00,41500.25,22639.25,52714.0,"-0,01"
2019-01-02 07:00:00,41762.5,25461.0,58136.5,"37,43"
2019-01-02 08:00:00,40800.75,28274.75,61514.25,"48,06"
2019-01-02 09:00:00,41021.25,29915.25,63429.25,"50,74"
2019-01-02 10:00:00,42989.5,30227.0,64466.0,"47,57"
2019-01-02 11:00:00,45075.25,30472.25,65756.0,"43,94"
2019-01-02 12:00:00,45755.75,30288.5,66016.25,"40,97"
2019-01-02 13:00:00,44349.5,30413.25,65282.5,"44,95"
2019-01-02 14:00:00,40319.5,31641.5,64117.5,"49,64"
2019-01-02 15:00:00,35300.5,34760.5,64010.0,"53,67"
2019-01-02 16:00:00,32206.0,39225.0,65227.25,"56,01"
2019-01-02 17:00:00,31045.25,40382.5,68510.25,"56,95"
