timestamps,prices,consumption,fossil_generation,wind_generation,month,date
2023-07-16 00:00:00,130.9,30.41,16.7,10.16,summer,2023-07-16
2023-07-16 01:00:00,111.82,28.69,15.66,9.48,summer,2023-07-16
2023-07-16 02:00:00,106.0,27.47,15.56,8.64,summer,2023-07-16
2023-07-16 03:00:00,99.1,26.7,15.04,7.92,summer,2023-07-16
2023-07-16 04:00:00,110.9,26.2,14.45,7.63,summer,2023-07-16
2023-07-16 05:00:00,104.17,25.75,13.81,7.42,summer,2023-07-16
2023-07-16 06:00:00,115.0,25.59,12.7,8.36,summer,2023-07-16
2023-07-16 07:00:00,104.39,26.71,11.81,10.83,summer,2023-07-16
2023-07-16 08:00:00,101.0,28.34,11.0,14.62,summer,2023-07-16
2023-07-16 09:00:00,85.0,30.1,10.35,17.54,summer,2023-07-16
2023-07-16 10:00:00,79.61,31.21,9.55,19.82,summer,2023-07-16
2023-07-16 11:00:00,80.0,32.46,9.84,21.24,summer,2023-07-16
2023-07-16 12:00:00,85.0,33.01,10.59,22.0,summer,2023-07-16
2023-07-16 13:00:00,81.09,32.87,10.05,22.04,summer,2023-07-16
2023-07-16 14:00:00,80.0,32.78,10.05,21.64,summer,2023-07-16
2023-07-16 15:00:00,88.0,32.67,11.16,20.96,summer,2023-07-16
2023-07-16 16:00:00,93.04,32.57,12.78,19.75,summer,2023-07-16
2023-07-16 17:00:00,102.9,33.31,15.0,19.02,summer,2023-07-16
2023-07-16 18:00:00,125.38,34.44,17.33,15.9,summer,2023-07-16
2023-07-16 19:00:00,144.53,35.69,18.58,14.26,summer,2023-07-16
2023-07-16 20:00:00,165.28,36.09,19.15,14.04,summer,2023-07-16
2023-07-16 21:00:00,161.97,36.41,19.36,14.1,summer,2023-07-16
2023-07-16 22:00:00,140.0,35.12,19.35,12.55,summer,2023-07-16
2023-07-16 23:00:00,121.9,32.84,18.74,10.5,summer,2023-07-16
