timestamps,prices,consumption
2018-01-01 00:00:00,45.82,22.98
2018-01-01 01:00:00,44.16,21.81
2018-01-01 02:00:00,42.24,20.76
2018-01-01 03:00:00,39.29,19.97
2018-01-01 04:00:00,36.0,19.49
2018-01-01 05:00:00,41.99,19.84
2018-01-01 06:00:00,42.25,21.1
2018-01-01 07:00:00,44.97,22.1
2018-01-01 08:00:00,45.0,22.4
2018-01-01 09:00:00,44.94,23.59
2018-01-01 10:00:00,45.02,24.37
2018-01-01 11:00:00,45.71,24.96
2018-01-01 12:00:00,46.7,25.06
2018-01-01 13:00:00,43.98,23.9
2018-01-01 14:00:00,44.96,23.49
2018-01-01 15:00:00,47.53,23.76
2018-01-01 16:00:00,49.91,25.24
2018-01-01 17:00:00,54.3,29.1
2018-01-01 18:00:00,51.91,30.35
2018-01-01 19:00:00,51.38,30.97
2018-01-01 20:00:00,49.2,30.34
2018-01-01 21:00:00,45.73,28.82
2018-01-01 22:00:00,44.84,26.54
2018-01-01 23:00:00,38.11,24.05
2018-01-02 00:00:00,43.05,28.54
2018-01-02 01:00:00,39.85,26.88
2018-01-02 02:00:00,37.33,26.02
2018-01-02 03:00:00,37.5,25.78
2018-01-02 04:00:00,37.9,25.98
2018-01-02 05:00:00,40.16,27.56
2018-01-02 06:00:00,46.45,32.63
2018-01-02 07:00:00,51.22,38.9
2018-01-02 08:00:00,52.23,43.01
2018-01-02 09:00:00,50.05,44.28
2018-01-02 10:00:00,49.38,43.67
2018-01-02 11:00:00,48.35,43.11
2018-01-02 12:00:00,47.43,40.7
2018-01-02 13:00:00,46.83,40.17
2018-01-02 14:00:00,48.54,41.5
2018-01-02 15:00:00,48.9,42.46
2018-01-02 16:00:00,50.23,43.28
2018-01-02 17:00:00,53.78,44.37
2018-01-02 18:00:00,55.94,45.28
2018-01-02 19:00:00,54.66,44.1
2018-01-02 20:00:00,51.64,41.49
2018-01-02 21:00:00,47.57,38.34
2018-01-02 22:00:00,44.77,34.63
2018-01-02 23:00:00,43.05,30.98
2018-01-03 00:00:00,80.79,29.37
2018-01-03 01:00:00,76.66,27.62
2018-01-03 02:00:00,75.11,26.76
2018-01-03 03:00:00,69.0,26.6
