timestamps,prices,consumption,temperature,radiation_direct_horizontal,radiation_diffuse_horizontal
01-01-18 00:00,45.82,22.98,5.946,0,0
01-01-18 01:00,44.16,21.81,5.951,0,0
01-01-18 02:00,42.24,20.76,5.963,0,0
01-01-18 03:00,39.29,19.97,5.974,0,0
01-01-18 04:00,36,19.49,6.063,0,0
01-01-18 05:00,41.99,19.84,6.083,0,0
01-01-18 06:00,42.25,21.1,5.99,0,0
01-01-18 07:00,44.97,22.1,5.901,0.4022,4.1944
01-01-18 08:00,45,22.4,6.507,4.3417,42.0063
01-01-18 09:00,44.94,23.59,7.542,14.7166,100.0285
01-01-18 10:00,45.02,24.37,8.413,34.6841,151.198
01-01-18 11:00,45.71,24.96,8.895,61.7838,181.0485
01-01-18 12:00,46.7,25.06,9.219,78.5545,184.8456
01-01-18 13:00,43.98,23.9,9.368,77.8518,167.808
01-01-18 14:00,44.96,23.49,9.169,53.7126,132.1194
01-01-18 15:00,47.53,23.76,8.34,23.2119,77.8363
01-01-18 16:00,49.91,25.24,6.744,2.2967,14.3312
01-01-18 17:00,54.3,29.1,5.746,0.0001,0.0009
01-01-18 18:00,51.91,30.35,5.29,0,0
01-01-18 19:00,51.38,30.97,5.032,0,0
01-01-18 20:00,49.2,30.34,5.033,0,0
01-01-18 21:00,45.73,28.82,5.065,0,0
01-01-18 22:00,44.84,26.54,5.045,0,0
01-01-18 23:00,38.11,24.05,4.952,0,0
02-01-18 00:00,19.19,21.98,4.931,0,0
02-01-18 01:00,14.99,20.53,5.105,0,0
02-01-18 02:00,11,19.73,5.296,0,0
02-01-18 03:00,10,19.54,5.076,0,0
02-01-18 04:00,11.83,20.08,4.758,0,0
02-01-18 05:00,14.99,21.69,4.609,0,0
02-01-18 06:00,40.6,25.76,4.54,0,0
02-01-18 07:00,46.99,30.79,4.476,0.1291,2.7068
02-01-18 08:00,47.95,34.07,4.921,5.1418,42.7184
02-01-18 09:00,49.9,35.36,6.387,39.5078,109.3039
02-01-18 10:00,50,35.21,7.871,108.6144,141.5894
02-01-18 11:00,49.7,34.77,8.944,168.1522,147.7838
02-01-18 12:00,48.16,33.48,9.645,192.2828,142.6116
02-01-18 13:00,47.24,32.77,9.936,175.696,129.6473
02-01-18 14:00,46.1,33.6,9.711,121.7606,108.8508
02-01-18 15:00,47.6,34.5,8.585,46.7301,73.3989
02-01-18 16:00,50.45,36.15,6.576,3.864,15.168
02-01-18 17:00,54.9,39.38,5.526,0.0001,0.0011
02-01-18 18:00,57.18,39.76,5.139,0,0
02-01-18 19:00,54.96,38.8,4.862,0,0
02-01-18 20:00,51.2,36.51,4.754,0,0
02-01-18 21:00,48.82,33.77,4.674,0,0
02-01-18 22:00,45.14,30.39,4.449,0,0
02-01-18 23:00,40.09,27.04,4.304,0,0
03-01-18 00:00,42.75,24.31,4.243,0,0
03-01-18 01:00,35.02,22.68,4.19,0,0
03-01-18 02:00,28.85,21.92,4.111,0,0
03-01-18 03:00,28,21.62,3.964,0,0
03-01-18 04:00,35.02,21.97,3.762,0,0
03-01-18 05:00,44.49,23.41,3.58,0,0
03-01-18 06:00,50.65,27.31,3.463,0,0
03-01-18 07:00,67,32.17,3.441,1.8314,5.158
03-01-18 08:00,70,35.6,4.45,33.2517,48.196
03-01-18 09:00,68,36.88,6.559,119.9077,84.4522
03-01-18 10:00,55.7,36.54,8.09,196.7155,103.5901
03-01-18 11:00,53.3,36.01,9.339,223.4552,121.9935
